candidate_id	candidate_kind	source_term	source_expansion	chapter_slug	source_context	proposed_lt	status	scope	candidate_origin	reason	banned_lt	source_ref	notes
005-update-analysis-what-s-changed-acronym-dka	acronym	DKA		005-update-analysis-what-s-changed	| Intravascular Fluid Therapy in Children | May 2021 | The duration over which non-shocked patients with DKA should be given an initial 10 ml/kg bolus has been decreased to 30 minutes (was previously 60 minutes). Figure 7.3 (Intravascular Fluid Therapy in Children algorithm) has been removed for clarity. |	diabetinė ketoacidozė	approved_global	global	research_risky_term | source_acronym	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje. | Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://lsmu.lt/cris/entities/publication/a3f2fcd9-4574-4826-9ad1-e331369f5f47/full	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-acronym-iv	acronym	IV		005-update-analysis-what-s-changed	| Clinical Considerations in Relation to Diversity and Equality | April 2025 | New wording added around pulse oximetry in dark skin, and also regarding terminology in the disability section. |		not_acronym	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			`IV` šiame projekte laikoma vartojimo kelio santrumpa (`intraveninis` / `į veną`), o ne `Intravascular Fluid Therapy` sinonimu. Į aktyvią šio skyriaus terminų triage bazę nekelti kaip atskiro pavadinimo.
005-update-analysis-what-s-changed-acronym-lvad	acronym	LVAD		005-update-analysis-what-s-changed	| Management and Resuscitation of Patients with Left Ventricular Assist Devices (LVADs) | April 2025 | Revised and updated. Small changes include: If possible, anterior-posterior pad positioning would be preferable based on the LVAD position within the chest wall. LVAD centre emergency contacts numbers were checked for accuracy. |	kairiojo skilvelio pagalbinis įrenginys	approved_global	global	research_risky_term | source_acronym	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje. | Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://lsmu.lt/cris/entities/etd/70426154-45f7-4824-9fd1-1d18631955b5	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-acronym-ng24	acronym	NG24		005-update-analysis-what-s-changed	| Adrenal Insufficiency Patients (formerly called Steroid-dependent Patients) | April 2025 | Reviewed and updated in line with NICE guidanace NG24. Note new title (previously called Steroid-dependent Patients). |		original_context_only	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-acronym-nice	acronym	NICE		005-update-analysis-what-s-changed	| Adrenal Insufficiency Patients (formerly called Steroid-dependent Patients) | April 2025 | Reviewed and updated in line with NICE guidanace NG24. Note new title (previously called Steroid-dependent Patients). |		original_context_only	book	research_risky_term | source_acronym	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje. | Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-acronym-rcuk	acronym	RCUK		005-update-analysis-what-s-changed	| Basic Life Support in Adults | September 2022 | Reviewed and updated in line with RCUK. New wording added. |		original_context_only	book	research_risky_term | source_acronym	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje. | Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-acronym-sarc	acronym	SARC		005-update-analysis-what-s-changed	| Sexual Assault | March 2024 | Fully revised and updated. Emphasis on use of Sexual Assault Referral Centres (SARCs). |		original_context_only	book	research_risky_term	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje.			JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-term-abdominal-pain	term	Abdominal Pain		005-update-analysis-what-s-changed	| Abdominal Pain | April 2025 | Revised and updated. The common causes table for adults and children has been revised and symptom indicators added to aid working diagnosis. Includes diagram of abdominal regions. |	pilvo skausmas	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-abdominal-trauma	term	Abdominal Trauma		005-update-analysis-what-s-changed	| Abdominal Trauma | July 2024 | Reviewed and updated, placing emphasis that when managing critically ill or injured patients, early consideration should be given to the requirement for additional critical care resources. |	pilvo trauma	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-acute-behavioural-disturbance	term	Acute Behavioural Disturbance		005-update-analysis-what-s-changed	| Acute Behavioural Disturbance (ABD) | February 2021 | Additional wording to emphasise close monitoring of a restrained patient. |	Acute Behavioural Disturbance (ABD)	original_context_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.		https://e-seimas.lrs.lt/rs/actualedition/TAIS.348729/EEvxjRRsMN/format/ISO_PDF/	Originalo JK ar tarptautinis kontekstinis vienetas; aktyvioje LT terminų bazėje nefiksuoti. Jei prireiks, pilną LT sprendimą daryti lokalizuojant konkretų skyrių.
005-update-analysis-what-s-changed-term-acute-coronary-syndrome	term	Acute Coronary Syndrome		005-update-analysis-what-s-changed	| Acute Coronary Syndrome | January 2023 | Small change to wording about health inequalities, regarding women and ACS. |	ūminis koronarinis sindromas	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.		https://lsmu.lt/cris/entities/publication/e2bd0013-f8f0-47fe-bdb2-867e6961a320	Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-adrenal-insufficiency-patients	term	Adrenal Insufficiency Patients		005-update-analysis-what-s-changed	| Adrenal Insufficiency Patients (formerly called Steroid-dependent Patients) | April 2025 | Reviewed and updated in line with NICE guidanace NG24. Note new title (previously called Steroid-dependent Patients). |	antinksčių nepakankamumu sergantys pacientai	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-agitated-patients	term	Agitated Patients		005-update-analysis-what-s-changed	| Agitated Patients | January 2023 | New guideline to sit alongside ABD. |	Sujaudinti pacientai	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-alcohol-use-disorders	term	Alcohol-Use Disorders		005-update-analysis-what-s-changed	| Alcohol-Use Disorders | September 2023 | A new paragraph is included on alcoholic ketoacidosis. |	alkoholio vartojimo sutrikimai	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-allergic-reactions-including-anaphylaxis	term	Allergic Reactions including Anaphylaxis		005-update-analysis-what-s-changed	| Allergic Reactions including Anaphylaxis | September 2021 | Reviewed and updated in line with RCUK guidance. Emphasis on repeat IM adrenaline doses. |	alerginės reakcijos, įskaitant anafilaksiją	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-altered-level-of-consciousness	term	Altered Level of Consciousness		005-update-analysis-what-s-changed	| Altered Level of Consciousness | July 2025 | In response to user feedback, the term “coma” has been replaced with “reduced level of consciousness” throughout the guideline. A new section has been added around sudden cardiac death. |	sutrikusi sąmonė	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.		https://www.santa.lt/uploads/igimt%C5%B3.pdf	Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-atropine-for-cbrne	term	Atropine for CBRNE		005-update-analysis-what-s-changed	| Atropine for CBRNE | October 2022 | Reviewed and updated. |	atropinas CBRNE situacijoms	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-behavioural-emergencies	term	Behavioural Emergencies		005-update-analysis-what-s-changed	| Behavioural Emergencies | April 2025 | New guideline that should be used in conjunction with other existing guidelines including: agitation, delirium and acute behavioural disturbance. |	Elgesio krizės	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-burns-and-scalds	term	Burns and Scalds		005-update-analysis-what-s-changed	| Burns and Scalds | November 2019 | Reviewed and updated. |	nudegimai ir nuplikymai	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-care-of-the-newborn	term	Care of the Newborn		005-update-analysis-what-s-changed	| Care of the Newborn | October 2024 | Removal of APGAR score. |	naujagimio priežiūra	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-chronic-obstructive-pulmonary-disease	term	Chronic Obstructive Pulmonary Disease		005-update-analysis-what-s-changed	| Chronic Obstructive Pulmonary Disease | February 2022 | Reviewed and updated. |	lėtinė obstrukcinė plaučių liga	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-conditions-requiring-specific-prehospital-clinical-management	term	Conditions Requiring Specific Prehospital Clinical Management		005-update-analysis-what-s-changed	| Conditions Requiring Specific Prehospital Clinical Management | July 2024 | New guideline covering a number of clinical presentations where specific pre-hospital clinical considerations are needed. |	Būklės, kurioms reikalingas specifinis ikihospitalinis klinikinis valdymas	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-consent-in-pre-hospital-care	term	Consent in Pre-hospital Care		005-update-analysis-what-s-changed	| Consent in Pre-hospital Care | September 2021 | Reviewed and updated. |	Sutikimas ikihospitalinėje priežiūroje	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-domestic-abuse	term	Domestic Abuse		005-update-analysis-what-s-changed	| Domestic Abuse | September 2022 | Revised and updated with current legislation. |	Smurtas artimoje aplinkoje	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-duty-of-care	term	Duty of Care		005-update-analysis-what-s-changed	| Duty of Care | May 2021 | Reviewed and updated. |	Rūpestingumo pareiga	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-electrical-injuries	term	Electrical Injuries		005-update-analysis-what-s-changed	| Electrical Injuries | July 2024 | Reviewed and updated. Additional wording around conveyance decisions, tasers, implantable cardioverter defibrillator and importance of 12-lead ECG monitoring. |	elektros trauma	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	term	Emergency Tracheostomy and Laryngectomy Pre-hospital Management		005-update-analysis-what-s-changed	| Emergency Tracheostomy and Laryngectomy Pre-hospital Management | September 2022 | Reviewed in line with RCUK. Revised management algorithms. |	Skubi tracheostomos ir laringektomos pacientų ikihospitalinė priežiūra	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-end-of-life-care	term	End of Life Care		005-update-analysis-what-s-changed	| End of Life Care | May 2021 | Reviewed and updated and includes the Macmillan/UKONS tool. |	Gyvenimo pabaigos priežiūra	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-falls-in-older-adults	term	Falls in Older Adults		005-update-analysis-what-s-changed	| Falls in Older Adults | February 2022 | New wording around frailty scoring added; consider using the clinical frailty scale, as per local pathways. |	Vyresnio amžiaus suaugusiųjų griuvimai	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-febrile-illness	term	Febrile Illness		005-update-analysis-what-s-changed	| Febrile Illness in Children | July 2019 | Reviewed and updated. |	karščiavimu pasireiškiančios ligos	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-foreign-body-airway-obstruction	term	Foreign Body Airway Obstruction		005-update-analysis-what-s-changed	| Foreign Body Airway Obstruction | September 2022 | Reviewed in line with RCUK. All reversible causes should be considered. |	kvėpavimo takų obstrukcija svetimkūniu	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-gastrointestinal-bleeding	term	Gastrointestinal Bleeding		005-update-analysis-what-s-changed	| Gastrointestinal Bleeding | July 2019 | Reviewed and updated. |	kraujavimas iš virškinimo trakto	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-glycaemic-emergencies	term	Glycaemic Emergencies		005-update-analysis-what-s-changed	| Glycaemic Emergencies in Adults and Children | July 2025 | Section 3.1, which covers hypoglycaemia in patients without diabetes, has been updated following a review of the evidence. Since no absolute blood glucose threshold was identified in the literature, symptomatic patients with a blood glucose level (BM) of less than 3.9 mmol/L can now be considered hypoglycaemic. |	glikeminės skubios būklės	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-head-injury	term	Head Injury		005-update-analysis-what-s-changed	| Head Injury | July 2024 | Reviewed and updated. Revised guidance around conveyance decisions, and in relation to patients taking anti platelets. |	galvos trauma	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-heart-failure	term	Heart Failure		005-update-analysis-what-s-changed	| Heart Failure | January 2024 | Information in ‘Key Points’ has been revised. |	širdies nepakankamumas	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-heat-related-illness	term	Heat Related Illness		005-update-analysis-what-s-changed	| Heat Related Illness | September 2023 | A full review and update. New table of medications predisposing to heat related illness. |	Su karščiu susijusios būklės	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-human-factors	term	Human Factors		005-update-analysis-what-s-changed	| Human Factors | September 2022 | New guideline. A short section on human factors will remain in ‘Out-of-Hospital Cardiac Arrest: Overview’. |	Žmogiškieji veiksniai	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-hyperventilation-syndrome	term	Hyperventilation Syndrome		005-update-analysis-what-s-changed	| Hyperventilation Syndrome | June 2019 | Reviewed and updated. |	hiperventiliacijos sindromas	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-term-imminent-birth	term	Imminent Birth		005-update-analysis-what-s-changed	| Imminent Birth | October 2024 | Fully reviewed and revised. New wording about identifying if birth is imminent and when to consider conveying to hospital. Inclusion of free birth, water birth, home birth and en caul birth. Revised management algorithm. New table of high-risk pregnancy features. Photos included to show estimates of volumes of blood loss. |	Artėjantis gimdymas	localization_only	book	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.			Sudėtinė skyriaus antraštė arba lokalizacijos wording vienetas; nepromuoti į shared lexicon. Tikslinti pilnai lokalizuojant atitinkamą atskirą skyrių.
005-update-analysis-what-s-changed-term-implantable-cardioverter-defibrillator	term	Implantable Cardioverter Defibrillator		005-update-analysis-what-s-changed	| Implantable Cardioverter Defibrillator | January 2024 | Revised and updated. Amended wording on DNACPR and ReSPECT and use of ring magnets. |	implantuojamas kardioverteris-defibriliatorius	approved_global	global	source_guideline_title	Aptikta aukštos vertės source antraštėje ar guideline title lauke, todėl prieš draftą turi būti sutikrinta su LT-source sluoksniu.		https://lsmu.lt/wp-content/uploads/MC_disertacijos_Melinyte-Ankudavice.pdf	Patikrinta LT interneto medicinos šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
